Tran_Date,Account,Tran_Amt,Merchant
1/10/2022,14447,234.17,MASTERCUTS
1/10/2022,15022,17.97,CRATE AND BARREL
1/11/2022,11737,21.9,JTV
1/11/2022,11737,148.11,PBTEEN
1/11/2022,12594,132.43,SHUTTERFLY
1/11/2022,13699,69.94,LANE BRYANT
1/11/2022,15169,6.84,AEROPOSTALE
1/11/2022,15169,31.56,Fanatics
1/11/2022,16549,128.46,FRONTGATE
1/11/2022,18637,22.75,UNDERGROUND BY JOURNEYS
1/12/2022,12053,7.01,NIKE
1/12/2022,13202,31.76,JOHNSTON & MURPHY
1/12/2022,13202,68.07,L.L. BEAN
1/13/2022,11737,5.04,MASTERCUTS
1/13/2022,12594,78.57,SUNGLASS HUT
1/13/2022,13202,16.8,BANANA REPUBLIC
1/13/2022,15022,25.54,HOMESENSE
1/13/2022,17622,255.18,ZAPPOS.COM
1/13/2022,17938,32.75,ADIDAS
1/13/2022,19532,82.87,SAKS OFF 5TH
1/14/2022,13202,34.79,BROWN DERBY INTERNATIONAL WINE
1/14/2022,15022,20.9,SALLY BEAUTY
1/14/2022,15022,77.8,SAKS FIFTH AVENUE
1/15/2022,11737,14.02,BODY BASICS FITNESS EQUIPMENT
1/15/2022,12053,79.83,SUNGLASS HUT
1/15/2022,12594,256.23,YANKEE CANDLE
1/15/2022,13894,8.91,BUILD A BEAR WORKSHOP
1/15/2022,17622,75.13,CARNIVAL CRUISE LINES
1/15/2022,17622,85.47,GO PLAY GOLF
1/15/2022,19202,5.87,LANE BRYANT
1/15/2022,19548,8.92,WEST ELM
1/16/2022,11066,234.81,GO PLAY GOLF
1/16/2022,12053,64.24,ZAPPOS.COM
1/16/2022,12594,74.95,GAP KIDS
1/16/2022,14736,8.21,BROWN DERBY INTERNATIONAL WINE
1/16/2022,15022,10.28,MACYS
1/16/2022,19202,57.12,Wayfair.com
1/16/2022,19532,7.89,MIRAVAL RESORT & SPA
1/17/2022,12594,13.91,ENCORE LAS VEGAS
1/17/2022,13894,55.8,SALLY BEAUTY
1/17/2022,13894,127.98,KIDS FOOT LOCKER
1/18/2022,11737,118.08,MARSHALLS
1/18/2022,14447,148.76,Crate and Kids
1/18/2022,15022,5.73,BUILD A BEAR WORKSHOP
1/18/2022,19532,17.47,PLEASANT HOLIDAYS
1/18/2022,19548,142.53,GO PLAY GOLF
1/19/2022,12594,38.24,LANDS END
1/19/2022,13894,107,ATHLETA
1/19/2022,18637,10.19,L.L. BEAN
1/19/2022,18637,30.2,L.L. BEAN
1/19/2022,18637,111.92,THE CHILDRENS PLACE
1/19/2022,18637,158.19,JOURNEYS/JOURNEYS KIDZ
1/19/2022,18789,255.4,LAST CALL
1/19/2022,19202,9.17,MASTERCUTS
1/20/2022,11066,10.59,GO PLAY GOLF
1/20/2022,13894,35.3,CHAMPS
1/20/2022,13894,92.58,EXPRESS/EXPRESS MEN
1/20/2022,14736,7.03,WILLIAMS-SONOMA
1/20/2022,15022,8.79,CRATE AND BARREL
1/20/2022,19202,31.31,CRATE AND BARREL
1/20/2022,19548,15.82,ADIDAS
1/20/2022,19548,69.46,SHI BY JOURNEYS
1/21/2022,14447,21.15,CHAMPS
1/21/2022,14736,88.74,YANKEE CANDLE
1/21/2022,14736,140.43,OLD NAVY
1/21/2022,15022,7.24,ENCORE LAS VEGAS
1/21/2022,15191,266.03,AMERICAN EAGLE
1/21/2022,19532,6.83,THE CHILDRENS PLACE
1/21/2022,19532,33.06,SIERRA
1/22/2022,12053,109.4,POTTERY BARN
1/22/2022,13202,228.05,CRUTCHFIELD
1/22/2022,14447,120.07,Vegepod
1/22/2022,15169,95.69,HOMESENSE
1/22/2022,16549,115.71,BODY BASICS FITNESS EQUIPMENT
1/24/2022,12594,71.7,PRO AM GOLF USA
1/24/2022,13202,76.78,PLEASANT HOLIDAYS
1/24/2022,16549,5.07,CRUTCHFIELD
1/24/2022,17622,13.24,BATH & BODY WORKS
1/24/2022,17622,28.51,SUNGLASS HUT
1/24/2022,19532,55.34,WEST ELM
1/25/2022,12053,591.57,YANKEE CANDLE
1/25/2022,12594,10.29,HOMESENSE
1/25/2022,13894,8.81,ATHLETA
1/25/2022,16549,134.88,CUSP
1/25/2022,18637,112.1,Fanatics
1/26/2022,13699,180.65,MIRAVAL RESORT & SPA
1/26/2022,13894,129.4,EDDIE BAUER
1/26/2022,14447,7.24,ZAPPOS.COM
1/26/2022,15169,7.84,SAKS FIFTH AVENUE
1/26/2022,16549,39.03,HOMEGOODS
1/27/2022,13699,9.29,WEST ELM
1/27/2022,14736,88.54,BATH & BODY WORKS
1/27/2022,15191,145.18,ATHLETA
1/27/2022,19202,12,SHUTTERFLY
1/28/2022,11737,61.18,SIERRA
1/28/2022,13699,57.63,MARSHALLS
1/28/2022,13699,61.21,ATHLETA
1/28/2022,14447,8.57,LANE BRYANT
1/28/2022,14447,186.98,Fanatics
1/28/2022,14736,165.81,FURNITURE REWARDS
1/28/2022,15169,72.95,YANKEE CANDLE
1/28/2022,15191,5.47,THE CONTAINER STORE
1/28/2022,17938,56.68,Wayfair.com
1/29/2022,11737,69.32,JOURNEYS/JOURNEYS KIDZ
1/29/2022,12594,36.3,PLEASANT HOLIDAYS
1/29/2022,14447,87.56,CARNIVAL CRUISE LINES
1/29/2022,14736,229.38,BATH & BODY WORKS
1/29/2022,18789,8.39,SAKS FIFTH AVENUE
1/29/2022,18789,251.38,ENCORE LAS VEGAS
1/29/2022,19202,99.07,FAMOUS FOOTWEAR
1/29/2022,19532,6.8,Vegepod
1/29/2022,19532,110.22,SEPHORA
1/29/2022,19548,58.63,OLD NAVY
1/30/2022,11066,79.59,JOHNSTON & MURPHY
1/30/2022,11737,30.49,SPAFINDER WELLNESS 365
1/30/2022,13202,31.67,GAP KIDS
1/30/2022,14736,263.99,GUITAR CENTER
1/30/2022,18637,7.93,WEST ELM
1/30/2022,18789,13.78,STAPLES
1/30/2022,19202,56.32,1-800-FLOWERS.COM
1/31/2022,13202,5.92,FURNITURE REWARDS
1/31/2022,13699,16.45,BANANA REPUBLIC
1/31/2022,15022,36.44,LANDS END HOME
1/31/2022,15191,51.86,JTV
1/31/2022,19202,9.02,Fanatics
2/1/2022,14447,50.59,JOHNSTON & MURPHY
2/1/2022,14447,67.8,SHI BY JOURNEYS
2/1/2022,15191,5.97,UNDERGROUND BY JOURNEYS
2/1/2022,18637,35.11,Fanatics
2/1/2022,19202,10.72,FURNITURE REWARDS
2/2/2022,12594,39.6,PLEASANT HOLIDAYS
2/2/2022,18789,72.32,MIRAVAL RESORT & SPA
2/3/2022,14447,7.05,WYNN LAS VEGAS
2/3/2022,14736,32.73,EXPRESS/EXPRESS MEN
2/3/2022,15169,89.32,CARNIVAL CRUISE LINES
2/3/2022,15191,15.6,Vegepod
2/3/2022,17938,89.95,FOOT LOCKER
2/3/2022,18637,7.75,L.L. BEAN
2/3/2022,18637,89.46,Wayfair.com
2/3/2022,19532,84.48,BANANA REPUBLIC
2/3/2022,19548,12.53,Wayfair.com
2/4/2022,13894,61.93,PBTEEN
2/4/2022,17622,85.67,COST PLUS WORLD MARKET
2/4/2022,19532,8.57,LANDS END
2/4/2022,19532,21.63,UNDERGROUND BY JOURNEYS
2/4/2022,19532,29.21,HOMEGOODS
2/4/2022,19532,73.13,WILLIAMS-SONOMA
2/5/2022,13894,18.07,Fanatics
2/5/2022,14447,5.76,CHARITY CHOICE
2/5/2022,14447,103.89,1-800-FLOWERS.COM
2/5/2022,17938,113.99,PLEASANT HOLIDAYS
2/5/2022,18789,137.21,NIKE
2/5/2022,19202,146.78,BATH & BODY WORKS
2/6/2022,12594,28.24,NIKE
2/6/2022,15169,85.89,WILLIAMS-SONOMA
2/7/2022,11066,84.98,HOMESENSE
2/7/2022,13894,13.64,FAMOUS FOOTWEAR
2/7/2022,14447,226.81,UNDERGROUND BY JOURNEYS
2/7/2022,14736,65.06,BROOKS BROTHERS
2/7/2022,18637,37.73,Wayfair.com
2/8/2022,13894,12.34,L.L. BEAN
2/8/2022,14447,34.89,SAKS OFF 5TH
2/8/2022,18789,10.05,GAP KIDS
2/8/2022,19548,11.22,UNIQUE TRAVEL CORP.
2/8/2022,19548,36.78,WYNN LAS VEGAS
2/8/2022,19548,128.15,NEIMAN MARCUS
2/9/2022,11737,12.49,JOURNEYS/JOURNEYS KIDZ
2/9/2022,12053,72.56,SEPHORA
2/9/2022,13699,6.27,MIRAVAL RESORT & SPA
2/9/2022,14736,16.29,FRONTGATE
2/9/2022,16549,55.98,DILLARDS
2/10/2022,11066,201.91,ENCORE LAS VEGAS
2/10/2022,11737,58.81,POTTERY BARN KIDS
2/10/2022,12594,30.74,SAKS FIFTH AVENUE
2/10/2022,13894,116.93,EXPRESS/EXPRESS MEN
2/10/2022,14736,134.44,CHARITY CHOICE
2/10/2022,15022,51.24,BUILD A BEAR WORKSHOP
2/10/2022,17938,72.18,EXPRESS/EXPRESS MEN
2/10/2022,18789,98.47,UNDERGROUND BY JOURNEYS
2/10/2022,19548,5.43,CRUTCHFIELD
2/11/2022,11066,89.02,CELEBRITY CRUISES
2/11/2022,14447,5.96,BODY BASICS FITNESS EQUIPMENT
2/11/2022,15022,33.75,Vegepod
2/11/2022,15191,8.67,KIDS FOOT LOCKER
2/11/2022,18789,270.99,Crate and Kids
2/11/2022,19532,72.67,JCPENNEY
2/11/2022,19548,10.06,PRO AM GOLF USA
2/11/2022,19548,68.07,ENCORE LAS VEGAS
2/12/2022,11066,175.04,AEROPOSTALE
2/12/2022,11066,225.33,GAP KIDS
2/12/2022,11737,78.98,TALBOTS
2/12/2022,11737,85.32,ZAPPOS.COM
2/12/2022,17622,54.59,AMERICAN EAGLE
2/12/2022,17938,11.26,1-800-FLOWERS.COM
2/12/2022,17938,13.15,FAMOUS FOOTWEAR
2/12/2022,17938,124.33,MASTERCUTS
2/12/2022,18789,35.87,DILLARDS
2/12/2022,19548,37.23,SEPHORA
2/13/2022,12053,222.47,Fanatics
2/13/2022,13894,25.21,CELEBRITY CRUISES
2/13/2022,14447,123.57,NIKE
2/13/2022,14736,24.78,T.J. MAXX
2/13/2022,15022,239.78,YANKEE CANDLE
2/13/2022,19532,283.69,POTTERY BARN KIDS
2/14/2022,15169,7.46,YANKEE CANDLE
2/14/2022,15169,81.01,SUNGLASS HUT
2/14/2022,19202,144.79,BROWN DERBY INTERNATIONAL WINE
2/14/2022,19548,154.53,GO PLAY GOLF
2/15/2022,11737,20.13,AMERICAN EAGLE
2/15/2022,11737,29.28,OLD NAVY
2/15/2022,15191,542.27,TRIPGIFT
2/15/2022,18637,28.31,1-800-FLOWERS.COM
2/16/2022,11066,234.15,OLD NAVY
2/16/2022,13202,240.54,Nautica
2/16/2022,13699,9.24,SHI BY JOURNEYS
2/16/2022,14736,15.12,HOMESENSE
2/16/2022,15169,67.82,UNDERGROUND BY JOURNEYS
2/16/2022,15169,109.73,POTTERY BARN KIDS
2/16/2022,15169,153.95,EDDIE BAUER
2/16/2022,16549,12.36,LANDS END HOME
2/16/2022,17622,70.69,FRONTGATE
2/16/2022,18637,98.5,SALLY BEAUTY
2/16/2022,19202,13.49,SHUTTERFLY
2/17/2022,13202,50.16,BROOKS BROTHERS
2/17/2022,14447,28.6,SAKS FIFTH AVENUE
2/17/2022,14736,167.33,LANE BRYANT
2/17/2022,17622,15.79,HOMESENSE
2/17/2022,17622,34.33,CABELAS
2/18/2022,11066,209.43,LAST CALL
2/18/2022,12053,14.96,CELEBRITY CRUISES
2/18/2022,13894,18.97,PLEASANT HOLIDAYS
2/18/2022,13894,31.87,JOHNSTON & MURPHY
2/18/2022,14447,80.31,HOMEGOODS
2/18/2022,15191,35.48,PBTEEN
2/18/2022,19532,11.41,BROWN DERBY INTERNATIONAL WINE
2/19/2022,13699,28.31,SPAFINDER WELLNESS 365
2/19/2022,13699,81.01,BROOKS BROTHERS
2/19/2022,15169,9.19,L.L. BEAN
2/19/2022,16549,8.58,PLEASANT HOLIDAYS
2/19/2022,17622,61.23,UNIQUE TRAVEL CORP.
2/19/2022,18637,5.12,BASS PRO SHOPS
2/20/2022,12594,11.06,CELEBRITY CRUISES
2/20/2022,17622,7.76,SHI BY JOURNEYS
2/21/2022,13894,51.23,T.J. MAXX
2/21/2022,13894,185.83,HOMESENSE
2/21/2022,18637,6.03,FOOT LOCKER
2/21/2022,18789,30.47,FRONTGATE
2/21/2022,19202,9.23,ATHLETA
2/21/2022,19202,152.75,KIDS FOOT LOCKER
2/22/2022,11066,164.29,WEST ELM
2/22/2022,14736,6.51,JOHNSTON & MURPHY
2/22/2022,15022,32.65,CABELAS
2/22/2022,16549,57.27,TRIPGIFT
2/22/2022,17938,68.21,GO PLAY GOLF
2/22/2022,18637,11.83,SPAFINDER WELLNESS 365
2/22/2022,18637,18.88,LANE BRYANT
2/23/2022,13202,72.02,LAST CALL
2/23/2022,14447,10.64,TALBOTS
2/23/2022,16549,249.94,T.J. MAXX
2/24/2022,11066,53.19,ADIDAS
2/24/2022,12053,14.29,Vegepod
2/24/2022,12053,25.5,LANDS END HOME
2/24/2022,13202,38.65,CRUTCHFIELD
2/24/2022,13699,15.46,AMERICAN EAGLE
2/24/2022,16549,51.63,UNDERGROUND BY JOURNEYS
2/24/2022,18789,9.21,Nautica
2/24/2022,19532,55.22,HOMEGOODS
2/25/2022,14736,34.55,HOMESENSE
2/25/2022,15191,58.38,CB2
2/25/2022,15191,135.77,CUSP
2/25/2022,16549,137.59,LANDS END
2/25/2022,17622,522.75,AEROPOSTALE
2/25/2022,19202,213.58,TALBOTS
2/26/2022,11737,22.73,JCPENNEY
2/26/2022,11737,82.66,MARSHALLS
2/26/2022,13894,121.99,JOHNSTON & MURPHY
2/26/2022,14447,9.85,Vegepod
2/26/2022,15191,84.78,CARNIVAL CRUISE LINES
2/26/2022,18637,10.93,FAMOUS FOOTWEAR
2/27/2022,13202,166.74,THE CHILDRENS PLACE
2/27/2022,17938,9.55,BUILD A BEAR WORKSHOP
2/27/2022,19548,169.79,NIKE
2/28/2022,14736,204.29,ENCORE LAS VEGAS
2/28/2022,19202,5.56,MASTERCUTS
2/28/2022,19202,74.9,THE HOME DEPOT
2/28/2022,19548,70.45,POTTERY BARN KIDS
3/1/2022,12053,57.81,SHI BY JOURNEYS
3/1/2022,13699,9.8,TOURNEAU WATCHES
3/1/2022,13894,64.32,JTV
3/1/2022,15022,87.24,AEROPOSTALE
3/1/2022,16549,84.37,ADIDAS
3/1/2022,17622,53.48,CHAMPS
3/1/2022,18789,32.66,SIERRA
3/2/2022,13202,16.72,BATH & BODY WORKS
3/2/2022,13699,488.82,SAKS FIFTH AVENUE
3/2/2022,13894,65.23,Wayfair.com
3/2/2022,14447,16.64,SAKS OFF 5TH
3/2/2022,15022,102.61,SAKS OFF 5TH
3/2/2022,15191,8.77,TOURNEAU WATCHES
3/2/2022,16549,29.94,HOMEGOODS
3/2/2022,17622,18.32,1-800-FLOWERS.COM
3/2/2022,17622,76.31,OLD NAVY
3/2/2022,17622,114.99,SALLY BEAUTY
3/2/2022,19532,56.28,FOOT LOCKER
3/3/2022,11066,137.96,JOHNSTON & MURPHY
3/3/2022,12053,38.35,LAST CALL
3/3/2022,13699,5.77,BANANA REPUBLIC
3/3/2022,15169,61.07,CUSP
3/3/2022,16549,187.14,THE CHILDRENS PLACE
3/3/2022,17938,60.08,BATH & BODY WORKS
3/3/2022,17938,200.99,FOOT LOCKER
3/3/2022,18789,117.47,BUILD A BEAR WORKSHOP
3/3/2022,19532,12.95,NEIMAN MARCUS
3/4/2022,13699,17.37,BODY BASICS FITNESS EQUIPMENT
3/4/2022,15022,15.38,SAKS OFF 5TH
3/4/2022,16549,10.58,SIERRA
3/4/2022,17938,260.5,FOOT LOCKER
3/4/2022,18637,276.37,AEROPOSTALE
3/4/2022,18789,53.32,HOMEGOODS
3/5/2022,11066,36.31,SUNGLASS HUT
3/5/2022,13894,227.59,SPAFINDER WELLNESS 365
3/5/2022,14447,15.32,CRATE AND BARREL
3/5/2022,15191,72.39,ENCORE LAS VEGAS
3/5/2022,16549,597.96,SAKS OFF 5TH
3/5/2022,17938,6.63,BODY BASICS FITNESS EQUIPMENT
3/5/2022,19202,39.67,BANANA REPUBLIC
3/5/2022,19532,9.19,AEROPOSTALE
3/5/2022,19548,59.16,JTV
3/6/2022,12594,5.64,YANKEE CANDLE
3/6/2022,12594,151.7,FRONTGATE
3/6/2022,13202,75.93,HOMESENSE
3/6/2022,15022,5.63,PBTEEN
3/6/2022,16549,52.67,HORCHOW
3/6/2022,19202,10.27,THE CONTAINER STORE
3/6/2022,19532,139.95,GO PLAY GOLF
3/6/2022,19548,75.57,BROWN DERBY INTERNATIONAL WINE
3/7/2022,11066,55.67,BROWN DERBY INTERNATIONAL WINE
3/7/2022,11066,260.75,CB2
3/7/2022,12594,6.87,SUNGLASS HUT
3/7/2022,12594,11.04,CABELAS
3/7/2022,15191,17.78,WILLIAMS-SONOMA
3/7/2022,15191,225.77,OLD NAVY
3/8/2022,11737,67.45,UNDERGROUND BY JOURNEYS
3/8/2022,13699,56.34,CHAMPS
3/8/2022,14447,9.28,EXPRESS/EXPRESS MEN
3/8/2022,14736,33.31,ADIDAS
3/8/2022,17938,57.78,GO PLAY GOLF
3/8/2022,17938,164.23,FAMOUS FOOTWEAR
3/8/2022,18637,9.66,DILLARDS
3/8/2022,19202,52.54,BROOKS BROTHERS
3/9/2022,13699,485.6,HORCHOW
3/9/2022,13894,142.75,CABELAS
3/9/2022,14736,17.06,POTTERY BARN KIDS
3/9/2022,14736,38.94,T.J. MAXX
3/9/2022,15022,10.39,DILLARDS
3/9/2022,15169,24.15,Wayfair.com
3/9/2022,16549,5.11,BUILD A BEAR WORKSHOP
3/10/2022,13202,73.28,JOURNEYS/JOURNEYS KIDZ
3/10/2022,15191,131.61,OLD NAVY
3/10/2022,15191,489.02,WYNN LAS VEGAS
3/11/2022,13202,14.81,Wayfair.com
3/11/2022,13202,15.35,Vegepod
3/11/2022,13202,20.55,BANANA REPUBLIC
3/11/2022,13202,233.47,JCPENNEY
3/11/2022,13894,292.72,FRONTGATE
3/11/2022,14447,76.61,SAKS OFF 5TH
3/11/2022,15022,85.6,SIERRA
3/11/2022,16549,70.7,1-800-FLOWERS.COM
3/12/2022,11737,18.75,JOHNSTON & MURPHY
3/12/2022,13894,286.22,CRUTCHFIELD
3/12/2022,16549,88.96,SUNGLASS HUT
3/12/2022,16549,114.05,LAST CALL
3/12/2022,17938,59.29,GAP KIDS
3/13/2022,14447,9.93,TOURNEAU WATCHES
3/13/2022,15191,186.26,TOURNEAU WATCHES
3/13/2022,18637,63.3,POTTERY BARN
3/14/2022,13699,8.6,BASS PRO SHOPS
3/14/2022,13894,50.21,COST PLUS WORLD MARKET
3/14/2022,16549,76.63,CARNIVAL CRUISE LINES
3/15/2022,11066,15.8,HORCHOW
3/15/2022,12594,508.08,EDDIE BAUER
3/15/2022,13894,70.59,MASTERCUTS
3/15/2022,14447,37.86,CARNIVAL CRUISE LINES
3/15/2022,14447,153.8,HORCHOW
3/15/2022,17622,12.77,TALBOTS
3/15/2022,19202,133.41,Fanatics
3/15/2022,19532,83.62,DILLARDS
3/16/2022,11066,128.48,LANE BRYANT
3/16/2022,15169,65.05,UNDERGROUND BY JOURNEYS
3/16/2022,15169,162.23,DILLARDS
3/16/2022,17622,18.19,Crate and Kids
3/16/2022,17622,75.47,BROOKS BROTHERS
3/16/2022,18789,64.54,PRO AM GOLF USA
3/17/2022,11737,62.79,SAKS OFF 5TH
3/17/2022,11737,275.98,CARNIVAL CRUISE LINES
3/17/2022,14736,28.92,BUILD A BEAR WORKSHOP
3/17/2022,16549,7.91,GAP KIDS
3/18/2022,12053,5.37,CELEBRITY CRUISES
3/18/2022,12594,39.6,SALLY BEAUTY
3/18/2022,13202,517.59,MIRAVAL RESORT & SPA
3/18/2022,13894,17.49,Wayfair.com
3/18/2022,17622,270.99,MARSHALLS
3/18/2022,18637,271.31,JOURNEYS/JOURNEYS KIDZ
3/18/2022,19532,81.17,JTV
3/19/2022,11066,261.58,KIDS FOOT LOCKER
3/19/2022,11737,222.9,SALLY BEAUTY
3/19/2022,12053,262.68,Wayfair.com
3/19/2022,15022,29.71,HOMEGOODS
3/19/2022,16549,5.98,EXPRESS/EXPRESS MEN
3/19/2022,17622,7.54,UNDER ARMOUR
3/19/2022,19202,67.1,CABELAS
3/20/2022,12053,27.44,WYNN LAS VEGAS
3/20/2022,13894,11.04,CHARITY CHOICE
3/20/2022,15169,66.81,SHUTTERFLY
3/20/2022,18789,7.25,SAKS FIFTH AVENUE
3/20/2022,19548,20.41,SIERRA
3/21/2022,19532,34.19,PRO AM GOLF USA
3/22/2022,11066,26.68,LANDS END
3/22/2022,13894,278.34,UNDERGROUND BY JOURNEYS
3/22/2022,14736,8.77,FAMOUS FOOTWEAR
3/22/2022,19202,87.65,CARNIVAL CRUISE LINES
3/22/2022,19532,7.89,FURNITURE REWARDS
3/23/2022,17622,150.48,BANANA REPUBLIC
3/23/2022,18789,23.43,FOOT LOCKER
3/23/2022,18789,140.29,JCPENNEY
3/24/2022,11066,195.43,KIDS FOOT LOCKER
3/24/2022,11737,123.35,THE CONTAINER STORE
3/24/2022,14736,14.71,L.L. BEAN
3/24/2022,15022,21.07,TOURNEAU WATCHES
3/24/2022,15022,77.37,SALLY BEAUTY
3/24/2022,15022,230.23,BROOKS BROTHERS
3/24/2022,15191,18.06,TALBOTS
3/24/2022,19202,82.59,BASS PRO SHOPS
3/24/2022,19532,29.04,THE CHILDRENS PLACE
3/24/2022,19532,476.65,FAMOUS FOOTWEAR
3/25/2022,14736,63.56,SIERRA
3/25/2022,19532,80.02,POTTERY BARN
3/26/2022,11737,227.15,Fanatics
3/26/2022,12053,31.11,SALLY BEAUTY
3/26/2022,15022,17.17,THE CONTAINER STORE
3/26/2022,15169,78.23,JOURNEYS/JOURNEYS KIDZ
3/26/2022,16549,85.02,SHUTTERFLY
3/26/2022,19202,35.15,WILLIAMS-SONOMA
3/27/2022,11737,12.42,ZAPPOS.COM
3/27/2022,12053,69.42,GO PLAY GOLF
3/27/2022,13202,10.8,KIDS FOOT LOCKER
3/27/2022,13894,35.03,FOOT LOCKER
3/27/2022,14447,93.58,AMERICAN EAGLE
3/27/2022,14736,116.65,CUSP
3/27/2022,15169,12.39,LANDS END HOME
3/27/2022,15191,80.94,BATH & BODY WORKS
3/27/2022,19202,15.11,BUILD A BEAR WORKSHOP
3/27/2022,19532,15.22,L.L. BEAN
3/28/2022,13202,25.55,BUILD A BEAR WORKSHOP
3/28/2022,13699,84.2,ENCORE LAS VEGAS
3/28/2022,14736,24.65,AMERICAN EAGLE
3/28/2022,14736,136.12,EDDIE BAUER
3/29/2022,13202,284.96,CRUTCHFIELD
3/29/2022,13699,79.05,WEST ELM
3/29/2022,13894,137.43,BUILD A BEAR WORKSHOP
3/29/2022,14736,15.46,SAKS OFF 5TH
3/29/2022,19202,14.19,MIRAVAL RESORT & SPA
3/30/2022,11066,83.02,SEPHORA
3/30/2022,11066,184.39,CB2
3/30/2022,12053,103.4,CHAMPS
3/30/2022,12053,122.91,SUNGLASS HUT
3/30/2022,12594,24.04,JTV
3/30/2022,13894,33.71,NEIMAN MARCUS
3/30/2022,15169,443.82,CABELAS
3/30/2022,15191,78.58,1-800-FLOWERS.COM
3/30/2022,16549,16.32,ZAPPOS.COM
3/30/2022,18789,16.12,BROOKS BROTHERS
3/30/2022,18789,25.29,NEIMAN MARCUS
3/30/2022,19548,52.66,Crate and Kids
3/31/2022,15191,12.1,CHARITY CHOICE
3/31/2022,16549,20.47,AMERICAN EAGLE
3/31/2022,17622,88.22,CHARITY CHOICE
3/31/2022,18637,178.36,UNDER ARMOUR
4/1/2022,12594,11.71,BROWN DERBY INTERNATIONAL WINE
4/1/2022,13202,31.85,EDDIE BAUER
4/1/2022,13894,10.14,NIKE
4/1/2022,13894,89.9,FAMOUS FOOTWEAR
4/1/2022,14736,173.23,CRATE AND BARREL
4/1/2022,15022,28.09,EXPRESS/EXPRESS MEN
4/1/2022,17938,23.67,SAKS OFF 5TH
4/1/2022,18637,30.07,SAKS OFF 5TH
4/1/2022,18637,147.46,GUITAR CENTER
4/2/2022,13894,139.17,T.J. MAXX
4/2/2022,17622,17.85,JCPENNEY
4/2/2022,18637,7.63,BROWN DERBY INTERNATIONAL WINE
4/3/2022,13202,8.46,LANDS END HOME
4/3/2022,13699,15.92,BANANA REPUBLIC
4/3/2022,14736,98.26,MARSHALLS
4/3/2022,15022,21.96,BATH & BODY WORKS
4/3/2022,15191,115.94,POTTERY BARN KIDS
4/3/2022,17622,115.34,BATH & BODY WORKS
4/3/2022,18789,8.57,SEPHORA
4/3/2022,19548,503.5,WILLIAMS-SONOMA
4/4/2022,13202,118.34,SUNGLASS HUT
4/4/2022,13699,16.87,PBTEEN
4/4/2022,15022,38.29,L.L. BEAN
4/4/2022,15169,7.4,BANANA REPUBLIC
4/4/2022,15169,148.04,FRONTGATE
4/4/2022,18637,35.77,GO PLAY GOLF
4/4/2022,18637,97.5,TOURNEAU WATCHES
